timestamp,value,anomaly_score
2015-02-26 21:42:53,0.0,0.000000
2015-02-26 21:47:53,0.0,0.000000
2015-02-26 21:52:53,0.0,0.000000
2015-02-26 21:57:53,0.0,0.000000
2015-02-26 22:02:53,0.0,0.000000
2015-02-26 22:07:53,0.0,0.000000
2015-02-26 22:12:53,0.0,0.000000
2015-02-26 22:17:53,0.0,0.000000
2015-02-26 22:22:53,0.0,0.000000
2015-02-26 22:27:53,1.0,0.000000
2015-02-26 22:32:53,1.0,0.000000
2015-02-26 22:37:53,0.0,0.000000
2015-02-26 22:42:53,1.0,0.000000
2015-02-26 22:47:53,0.0,0.000000
2015-02-26 22:52:53,0.0,0.000000
2015-02-26 22:57:53,0.0,0.000000
2015-02-26 23:02:53,0.0,0.000000
2015-02-26 23:07:53,1.0,0.000000
2015-02-26 23:12:53,1.0,0.000000
2015-02-26 23:17:53,1.0,0.000000
2015-02-26 23:22:53,0.0,0.000000
2015-02-26 23:27:53,0.0,0.000000
2015-02-26 23:32:53,1.0,0.000000
2015-02-26 23:37:53,0.0,0.000000
2015-02-26 23:42:53,0.0,0.000000
2015-02-26 23:47:53,0.0,0.000000
2015-02-26 23:52:53,4.0,0.000000
2015-02-26 23:57:53,2.0,0.000000
2015-02-27 00:02:53,1.0,0.000000
2015-02-27 00:07:53,0.0,0.000000
2015-02-27 00:12:53,1.0,0.000000
2015-02-27 00:17:53,1.0,0.000000
2015-02-27 00:22:53,0.0,0.000000
2015-02-27 00:27:53,2.0,0.000000
2015-02-27 00:32:53,2.0,0.000000
2015-02-27 00:37:53,1.0,0.000000
2015-02-27 00:42:53,1.0,0.000000
2015-02-27 00:47:53,0.0,0.000000
2015-02-27 00:52:53,0.0,0.000000
2015-02-27 00:57:53,0.0,0.000000
2015-02-27 01:02:53,1.0,0.000000
2015-02-27 01:07:53,0.0,0.000000
2015-02-27 01:12:53,0.0,0.000000
2015-02-27 01:17:53,0.0,0.000000
2015-02-27 01:22:53,0.0,0.000000
2015-02-27 01:27:53,0.0,0.000000
2015-02-27 01:32:53,1.0,0.000000
2015-02-27 01:37:53,0.0,0.000000
2015-02-27 01:42:53,0.0,0.000000
2015-02-27 01:47:53,0.0,0.000000
2015-02-27 01:52:53,0.0,0.000000
2015-02-27 01:57:53,1.0,0.000000
2015-02-27 02:02:53,0.0,0.000000
2015-02-27 02:07:53,0.0,0.000000
2015-02-27 02:12:53,0.0,0.000000
2015-02-27 02:17:53,0.0,0.000000
2015-02-27 02:22:53,0.0,0.000000
2015-02-27 02:27:53,2.0,0.000000
2015-02-27 02:32:53,0.0,0.000000
2015-02-27 02:37:53,0.0,0.000000
2015-02-27 02:42:53,1.0,0.000000
2015-02-27 02:47:53,0.0,0.000000
2015-02-27 02:52:53,0.0,0.000000
2015-02-27 02:57:53,0.0,0.000000
2015-02-27 03:02:53,1.0,0.000000
2015-02-27 03:07:53,1.0,0.000000
2015-02-27 03:12:53,0.0,0.000000
2015-02-27 03:17:53,0.0,0.000000
2015-02-27 03:22:53,0.0,0.000000
2015-02-27 03:27:53,0.0,0.000000
2015-02-27 03:32:53,1.0,0.000000
2015-02-27 03:37:53,0.0,0.000000
2015-02-27 03:42:53,0.0,0.000000
2015-02-27 03:47:53,0.0,0.000000
2015-02-27 03:52:53,0.0,0.000000
2015-02-27 03:57:53,0.0,0.000000
2015-02-27 04:02:53,1.0,0.000000
2015-02-27 04:07:53,0.0,0.000000
2015-02-27 04:12:53,0.0,0.000000
2015-02-27 04:17:53,0.0,0.000000
2015-02-27 04:22:53,3.0,0.000000
2015-02-27 04:27:53,0.0,0.000000
2015-02-27 04:32:53,0.0,0.000000
2015-02-27 04:37:53,0.0,0.000000
2015-02-27 04:42:53,0.0,0.000000
2015-02-27 04:47:53,0.0,0.000000
2015-02-27 04:52:53,0.0,0.000000
2015-02-27 04:57:53,2.0,0.000000
2015-02-27 05:02:53,2.0,0.000000
2015-02-27 05:07:53,0.0,0.000000
2015-02-27 05:12:53,0.0,0.000000
2015-02-27 05:17:53,0.0,0.000000
2015-02-27 05:22:53,0.0,0.000000
2015-02-27 05:27:53,0.0,0.000000
2015-02-27 05:32:53,0.0,0.000000
2015-02-27 05:37:53,0.0,0.000000
2015-02-27 05:42:53,0.0,0.000000
2015-02-27 05:47:53,1.0,0.000000
2015-02-27 05:52:53,0.0,0.000000
2015-02-27 05:57:53,0.0,0.000000
2015-02-27 06:02:53,1.0,0.000000
2015-02-27 06:07:53,1.0,0.000000
2015-02-27 06:12:53,0.0,0.000000
2015-02-27 06:17:53,0.0,0.000000
2015-02-27 06:22:53,0.0,0.000000
2015-02-27 06:27:53,0.0,0.000000
2015-02-27 06:32:53,2.0,0.000000
2015-02-27 06:37:53,0.0,0.000000
2015-02-27 06:42:53,0.0,0.000000
2015-02-27 06:47:53,2.0,0.000000
2015-02-27 06:52:53,0.0,0.000000
2015-02-27 06:57:53,0.0,0.000000
2015-02-27 07:02:53,0.0,0.000000
2015-02-27 07:07:53,0.0,0.000000
2015-02-27 07:12:53,0.0,0.000000
2015-02-27 07:17:53,0.0,0.000000
2015-02-27 07:22:53,0.0,0.000000
2015-02-27 07:27:53,0.0,0.000000
2015-02-27 07:32:53,0.0,0.000000
2015-02-27 07:37:53,0.0,0.000000
